Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 27.04      2.15     2.15       12     0.18     0.18  void cv::cvt_<unsigned char, float>(cv::Mat const&, cv::Mat&)
 17.61      3.55     1.40        6     0.23     0.23  void cv::binaryOpC1_<cv::OpAbsDiff<float>, cv::VBinOp32f<cv::_VAbsDiff32f> >(cv::Mat const&, cv::Mat const&, cv::Mat&)
 15.35      4.77     1.22        6     0.20     0.20  void cv::mul_<float, float>(cv::Mat const&, cv::Mat const&, cv::Mat&, double)
  4.91      5.16     0.39                             memcpy
  4.40      5.51     0.35                             mmap
  4.15      5.84     0.33        2     0.17     0.17  icvBGRx2YCrCb_8u_CnC3R(unsigned char const*, int, unsigned char*, int, CvSize, int, int)
  3.77      6.14     0.30     4000     0.00     0.00  cv::RowFilter<unsigned char, int, cv::RowVec_8u32s>::operator()(unsigned char const*, unsigned char*, int, int)
  3.40      6.41     0.27                             jpeg_idct_16x16
  3.40      6.68     0.27        4     0.07     0.07  icvBGRx2Gray_8u_CnC1R(unsigned char const*, int, unsigned char*, int, CvSize, int, int)
  2.77      6.90     0.22     8000     0.00     0.00  icvCvt_BGR2RGB_8u_C3R(unsigned char const*, int, unsigned char*, int, CvSize)
  2.39      7.09     0.19     1000     0.00     0.00  cv::SymmColumnFilter<cv::FixedPtCastEx<int, unsigned char>, cv::SymmColumnVec_32s8u>::operator()(unsigned char const**, unsigned char*, int, int, int)
  2.26      7.27     0.18                             __write_nocancel
  1.89      7.42     0.15                             ycc_rgb_convert
  1.76      7.56     0.14        2     0.07     0.07  cv::Scalar_<double> cv::sum_<cv::Vec<float, 3>, cv::Vec<double, 3> >(cv::Mat const&)
  1.38      7.67     0.11                             jpeg_idct_islow
  1.13      7.76     0.09        4     0.02     0.02  cv::Scalar_<double> cv::sum_<float, double>(cv::Mat const&)
  1.13      7.85     0.09                             decode_mcu
  0.38      7.88     0.03                             brk
  0.25      7.90     0.02                             jpeg_fill_bit_buffer
  0.13      7.91     0.01        1     0.01     0.50  cv::FilterEngine::proceed(unsigned char const*, int, int, unsigned char*, int)
  0.13      7.92     0.01                             _L_unlock_169
  0.13      7.93     0.01                             _int_malloc
  0.13      7.94     0.01                             decompress_onepass
  0.13      7.95     0.01                             jinit_inverse_dct
  0.00      7.95     0.00    14020     0.00     0.00  cv::borderInterpolate(int, int, int)
  0.00      7.95     0.00     4001     0.00     0.00  cv::WLByteStream::putBytes(void const*, int)
  0.00      7.95     0.00     1465     0.00     0.00  cv::WBaseStream::writeBlock()
  0.00      7.95     0.00      123     0.00     0.00  cvFree_
  0.00      7.95     0.00       82     0.00     0.00  cvAlloc
  0.00      7.95     0.00       65     0.00     0.00  cv::Mat::Mat(_IplImage const*, bool)
  0.00      7.95     0.00       41     0.00     0.00  cvCreateData
  0.00      7.95     0.00       41     0.00     0.00  cvReleaseData
  0.00      7.95     0.00       41     0.00     0.00  cvReleaseImage
  0.00      7.95     0.00       41     0.00     0.00  cvReleaseImageHeader
  0.00      7.95     0.00       33     0.00     0.00  cvCreateImage
  0.00      7.95     0.00       33     0.00     0.00  cvInitImageHeader
  0.00      7.95     0.00       30     0.00     0.00  cv::Mat::create(int, int, int)
  0.00      7.95     0.00       24     0.00     0.00  cv::cvarrToMat(void const*, bool, bool, int)
  0.00      7.95     0.00       22     0.00     0.00  cv::fastMalloc(unsigned long)
  0.00      7.95     0.00       22     0.00     0.00  cv::fastFree(void*)
  0.00      7.95     0.00       19     0.00     0.00  cv::Mat::release()
  0.00      7.95     0.00       18     0.00     0.00  cv::cvarrToMat(void const*, bool, bool, int)
  0.00      7.95     0.00       17     0.00     0.13  cv::Mat::convertTo(cv::Mat&, int, double, double) const
  0.00      7.95     0.00       13     0.00     0.00  cvSize(int, int)
  0.00      7.95     0.00       12     0.00     0.03  SimilarityMetric::colorspaceConversion(_IplImage*, Colorspace)
  0.00      7.95     0.00       12     0.00     0.00  cv::WLByteStream::putDWord(int)
  0.00      7.95     0.00       12     0.00     0.00  cv::cvarrToMat(void const*, bool, bool, int)
  0.00      7.95     0.00       12     0.00     0.13  cvConvertScale
  0.00      7.95     0.00       12     0.00     0.00  cvGetErrStatus
  0.00      7.95     0.00       12     0.00     0.00  cvGetMat
  0.00      7.95     0.00       12     0.00     0.00  cvInitMatHeader
  0.00      7.95     0.00       10     0.00     0.00  cv::BaseImageDecoder::signatureLength() const
  0.00      7.95     0.00        8     0.00     0.00  cvCloneImage
  0.00      7.95     0.00        7     0.00     0.00  cv::BaseImageDecoder::BaseImageDecoder()
  0.00      7.95     0.00        7     0.00     0.00  CvType::CvType(char const*, int (*)(void const*), void (*)(void**), void* (*)(CvFileStorage*, CvFileNode*), void (*)(CvFileStorage*, char const*, void const*, CvAttrList), void* (*)(void const*))
  0.00      7.95     0.00        7     0.00     0.00  CvType::~CvType()
  0.00      7.95     0.00        7     0.00     0.00  cvRegisterType
  0.00      7.95     0.00        6     0.00     0.00  CoreFunctions::printCvScalar(CvScalar, Colorspace, int)
  0.00      7.95     0.00        6     0.00     0.00  cv::BaseImageEncoder::BaseImageEncoder()
  0.00      7.95     0.00        6     0.00     0.20  cv::pow(cv::Mat const&, double, cv::Mat&)
  0.00      7.95     0.00        6     0.00     0.04  cv::sum(cv::Mat const&)
  0.00      7.95     0.00        6     0.00     0.23  cv::absdiff(cv::Mat const&, cv::Mat const&, cv::Mat&)
  0.00      7.95     0.00        6     0.00     0.20  cv::multiply(cv::Mat const&, cv::Mat const&, cv::Mat&, double)
  0.00      7.95     0.00        6     0.00     0.00  cv::cvarrToMat(void const*, bool, bool, int)
  0.00      7.95     0.00        6     0.00     0.79  calcMSE::compare(_IplImage*, _IplImage*, Colorspace)
  0.00      7.95     0.00        6     0.00     0.23  cvAbsDiff
  0.00      7.95     0.00        6     0.00     0.04  cvAvg
  0.00      7.95     0.00        6     0.00     0.10  cvCvtColor
  0.00      7.95     0.00        6     0.00     0.00  cvGetImageCOI
  0.00      7.95     0.00        6     0.00     0.20  cvPow
  0.00      7.95     0.00        4     0.00     0.00  cv::BaseImageDecoder::checkSignature(std::string const&) const
  0.00      7.95     0.00        4     0.00     0.00  std::vector<cv::Ptr<cv::BaseImageDecoder>, std::allocator<cv::Ptr<cv::BaseImageDecoder> > >::_M_insert_aux(__gnu_cxx::__normal_iterator<cv::Ptr<cv::BaseImageDecoder>*, std::vector<cv::Ptr<cv::BaseImageDecoder>, std::allocator<cv::Ptr<cv::BaseImageDecoder> > > >, cv::Ptr<cv::BaseImageDecoder> const&)
