Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 22.99     15.86    15.86      280     0.06     0.06  void cv::mul_<float, float>(cv::Mat const&, cv::Mat const&, cv::Mat&, double)
 19.03     28.99    13.13    67830     0.00     0.00  cv::SymmColumnFilter<cv::Cast<float, float>, cv::SymmColumnVec_32f>::operator()(unsigned char const**, unsigned char*, int, int, int)
 12.28     37.46     8.47   271250     0.00     0.00  cv::RowFilter<float, float, cv::RowVec_32f>::operator()(unsigned char const*, unsigned char*, int, int)
  9.19     43.80     6.34       70     0.09     0.09  void cv::div_<float>(cv::Mat const&, cv::Mat const&, cv::Mat&, double)
  6.19     48.07     4.27       70     0.06     0.06  void cv::binaryOpC1_<cv::OpAdd<float, float, float>, cv::VBinOp32f<cv::_VAdd32f> >(cv::Mat const&, cv::Mat const&, cv::Mat&)
  4.96     51.49     3.42       70     0.05     0.05  void cv::cvtScale_<float, cv::OpCvt<float, float> >(cv::Mat const&, cv::Mat&, double, double)
  4.16     54.36     2.87       70     0.04     0.04  void cv::cvt_<unsigned char, float>(cv::Mat const&, cv::Mat&)
  4.09     57.18     2.82                             memcpy
  3.96     59.91     2.73      105     0.03     0.03  void cv::binaryOpC1_<cv::OpSub<float, float, float>, cv::VBinOp32f<cv::_VSub32f> >(cv::Mat const&, cv::Mat const&, cv::Mat&)
  3.19     62.11     2.20                             mmap
  2.77     64.02     1.91      140     0.01     0.01  void cv::binarySOpCn_<cv::OpAdd<float, float, float> >(cv::Mat const&, cv::Mat&, cv::Scalar_<double> const&)
  1.87     65.31     1.29       70     0.02     0.02  cv::resize(cv::Mat const&, cv::Mat&, cv::Size_<int>, double, double, int)
  1.22     66.15     0.84       20     0.04     0.04  icvBGRx2YCrCb_8u_CnC3R(unsigned char const*, int, unsigned char*, int, CvSize, int, int)
  0.86     66.74     0.59       30     0.02     0.02  cv::Scalar_<double> cv::sum_<cv::Vec<float, 3>, cv::Vec<double, 3> >(cv::Mat const&)
  0.42     67.03     0.29                             jpeg_idct_16x16
  0.36     67.28     0.25       40     0.01     0.01  cv::Scalar_<double> cv::sum_<float, double>(cv::Mat const&)
  0.36     67.53     0.25       12     0.02     0.02  icvBGRx2Gray_8u_CnC1R(unsigned char const*, int, unsigned char*, int, CvSize, int, int)
  0.33     67.76     0.23     4000     0.00     0.00  cv::RowFilter<unsigned char, int, cv::RowVec_8u32s>::operator()(unsigned char const*, unsigned char*, int, int)
  0.33     67.99     0.23     1000     0.00     0.00  cv::SymmColumnFilter<cv::FixedPtCastEx<int, unsigned char>, cv::SymmColumnVec_32s8u>::operator()(unsigned char const**, unsigned char*, int, int, int)
  0.33     68.22     0.23                             ycc_rgb_convert
  0.25     68.39     0.17                             jpeg_idct_islow
  0.23     68.55     0.16     8000     0.00     0.00  icvCvt_BGR2RGB_8u_C3R(unsigned char const*, int, unsigned char*, int, CvSize)
  0.19     68.68     0.13                             brk
  0.16     68.79     0.11                             __write_nocancel
  0.09     68.85     0.06      176     0.00     0.13  cv::FilterEngine::proceed(unsigned char const*, int, int, unsigned char*, int)
  0.07     68.90     0.05                             decode_mcu
  0.04     68.93     0.03   967070     0.00     0.00  cv::borderInterpolate(int, int, int)
  0.03     68.95     0.02                             _int_malloc
  0.01     68.96     0.01      176     0.00     0.00  cv::FilterEngine::~FilterEngine()
  0.01     68.97     0.01                             cv::Filter2D<unsigned char, cv::Cast<float, short>, cv::FilterVec_8u16s>::operator()(unsigned char const**, unsigned char*, int, int, int, int)
  0.01     68.98     0.01                             jpeg_fill_bit_buffer
  0.01     68.99     0.01                             jpeg_huff_decode
  0.01     69.00     0.01                             memset
  0.00     69.00     0.00     4001     0.00     0.00  cv::WLByteStream::putBytes(void const*, int)
  0.00     69.00     0.00     2580     0.00     0.00  cvFree_
  0.00     69.00     0.00     2560     0.00     0.00  cv::Mat::Mat(_IplImage const*, bool)
  0.00     69.00     0.00     2521     0.00     0.00  cv::Mat::release()
  0.00     69.00     0.00     1760     0.00     0.00  cvAlloc
  0.00     69.00     0.00     1465     0.00     0.00  cv::WBaseStream::writeBlock()
  0.00     69.00     0.00     1435     0.00     0.00  cv::cvarrToMat(void const*, bool, bool, int)
  0.00     69.00     0.00     1072     0.00     0.00  cv::fastMalloc(unsigned long)
  0.00     69.00     0.00     1072     0.00     0.00  cv::fastFree(void*)
  0.00     69.00     0.00      951     0.00     0.00  cv::Mat::create(int, int, int)
  0.00     69.00     0.00      880     0.00     0.00  cvCreateData
  0.00     69.00     0.00      860     0.00     0.00  cvReleaseData
  0.00     69.00     0.00      860     0.00     0.00  cvReleaseImage
  0.00     69.00     0.00      860     0.00     0.00  cvReleaseImageHeader
  0.00     69.00     0.00      840     0.00     0.00  cvCreateImage
  0.00     69.00     0.00      840     0.00     0.00  cvInitImageHeader
  0.00     69.00     0.00      700     0.00     0.00  cv::Mat::operator=(cv::Mat const&)
  0.00     69.00     0.00      495     0.00     0.01  cv::Mat::convertTo(cv::Mat&, int, double, double) const
  0.00     69.00     0.00      352     0.00     0.01  cv::getKernelType(cv::Mat const&, cv::Point_<int>)
