Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 25.35      1.97     1.97       12     0.16     0.16  void cv::cvt_<unsigned char, float>(cv::Mat const&, cv::Mat&)
 17.89      3.36     1.39        6     0.23     0.23  void cv::binaryOpC1_<cv::OpAbsDiff<float>, cv::VBinOp32f<cv::_VAbsDiff32f> >(cv::Mat const&, cv::Mat const&, cv::Mat&)
 15.70      4.58     1.22        6     0.20     0.20  void cv::mul_<float, float>(cv::Mat const&, cv::Mat const&, cv::Mat&, double)
  4.76      4.95     0.37                             memcpy
  4.50      5.30     0.35                             mmap
  4.50      5.65     0.35        2     0.18     0.18  icvBGRx2YCrCb_8u_CnC3R(unsigned char const*, int, unsigned char*, int, CvSize, int, int)
  3.86      5.95     0.30     1000     0.00     0.00  cv::SymmColumnFilter<cv::FixedPtCastEx<int, unsigned char>, cv::SymmColumnVec_32s8u>::operator()(unsigned char const**, unsigned char*, int, int, int)
  3.47      6.22     0.27        4     0.07     0.07  icvBGRx2Gray_8u_CnC1R(unsigned char const*, int, unsigned char*, int, CvSize, int, int)
  2.83      6.44     0.22                             jpeg_idct_16x16
  2.83      6.66     0.22                             jpeg_idct_islow
  2.57      6.86     0.20                             ycc_rgb_convert
  2.45      7.05     0.19     8000     0.00     0.00  icvCvt_BGR2RGB_8u_C3R(unsigned char const*, int, unsigned char*, int, CvSize)
  2.45      7.24     0.19     4000     0.00     0.00  cv::RowFilter<unsigned char, int, cv::RowVec_8u32s>::operator()(unsigned char const*, unsigned char*, int, int)
  2.32      7.42     0.18        2     0.09     0.09  cv::Scalar_<double> cv::sum_<cv::Vec<float, 3>, cv::Vec<double, 3> >(cv::Mat const&)
  2.06      7.58     0.16                             __write_nocancel
  1.03      7.66     0.08        4     0.02     0.02  cv::Scalar_<double> cv::sum_<float, double>(cv::Mat const&)
  0.39      7.69     0.03                             brk
  0.39      7.72     0.03                             decode_mcu
  0.26      7.74     0.02                             decompress_onepass
  0.13      7.75     0.01                             __open_nocancel
  0.13      7.76     0.01                             __read_nocancel
  0.13      7.77     0.01                             memset
  0.00      7.77     0.00    14020     0.00     0.00  cv::borderInterpolate(int, int, int)
  0.00      7.77     0.00     4001     0.00     0.00  cv::WLByteStream::putBytes(void const*, int)
  0.00      7.77     0.00     1465     0.00     0.00  cv::WBaseStream::writeBlock()
  0.00      7.77     0.00      123     0.00     0.00  cvFree_
  0.00      7.77     0.00       82     0.00     0.00  cvAlloc
  0.00      7.77     0.00       65     0.00     0.00  cv::Mat::Mat(_IplImage const*, bool)
  0.00      7.77     0.00       41     0.00     0.00  cvCreateData
  0.00      7.77     0.00       41     0.00     0.00  cvReleaseData
  0.00      7.77     0.00       41     0.00     0.00  cvReleaseImage
  0.00      7.77     0.00       41     0.00     0.00  cvReleaseImageHeader
  0.00      7.77     0.00       33     0.00     0.00  cvCreateImage
  0.00      7.77     0.00       33     0.00     0.00  cvInitImageHeader
  0.00      7.77     0.00       30     0.00     0.00  cv::Mat::create(int, int, int)
  0.00      7.77     0.00       24     0.00     0.00  cv::cvarrToMat(void const*, bool, bool, int)
  0.00      7.77     0.00       22     0.00     0.00  cv::fastMalloc(unsigned long)
  0.00      7.77     0.00       22     0.00     0.00  cv::fastFree(void*)
  0.00      7.77     0.00       19     0.00     0.00  cv::Mat::release()
  0.00      7.77     0.00       18     0.00     0.00  cv::cvarrToMat(void const*, bool, bool, int)
  0.00      7.77     0.00       17     0.00     0.12  cv::Mat::convertTo(cv::Mat&, int, double, double) const
  0.00      7.77     0.00       13     0.00     0.00  cvSize(int, int)
  0.00      7.77     0.00       12     0.00     0.03  SimilarityMetric::colorspaceConversion(_IplImage*, Colorspace)
  0.00      7.77     0.00       12     0.00     0.00  cv::WLByteStream::putDWord(int)
  0.00      7.77     0.00       12     0.00     0.00  cv::cvarrToMat(void const*, bool, bool, int)
  0.00      7.77     0.00       12     0.00     0.12  cvConvertScale
  0.00      7.77     0.00       12     0.00     0.00  cvGetErrStatus
  0.00      7.77     0.00       12     0.00     0.00  cvGetMat
  0.00      7.77     0.00       12     0.00     0.00  cvInitMatHeader
  0.00      7.77     0.00       10     0.00     0.00  cv::BaseImageDecoder::signatureLength() const
  0.00      7.77     0.00        8     0.00     0.00  cvCloneImage
  0.00      7.77     0.00        7     0.00     0.00  cv::BaseImageDecoder::BaseImageDecoder()
  0.00      7.77     0.00        7     0.00     0.00  CvType::CvType(char const*, int (*)(void const*), void (*)(void**), void* (*)(CvFileStorage*, CvFileNode*), void (*)(CvFileStorage*, char const*, void const*, CvAttrList), void* (*)(void const*))
  0.00      7.77     0.00        7     0.00     0.00  CvType::~CvType()
  0.00      7.77     0.00        7     0.00     0.00  cvRegisterType
  0.00      7.77     0.00        6     0.00     0.00  CoreFunctions::printCvScalar(CvScalar, Colorspace, int)
  0.00      7.77     0.00        6     0.00     0.00  cv::BaseImageEncoder::BaseImageEncoder()
  0.00      7.77     0.00        6     0.00     0.20  cv::pow(cv::Mat const&, double, cv::Mat&)
  0.00      7.77     0.00        6     0.00     0.04  cv::sum(cv::Mat const&)
  0.00      7.77     0.00        6     0.00     0.23  cv::absdiff(cv::Mat const&, cv::Mat const&, cv::Mat&)
  0.00      7.77     0.00        6     0.00     0.20  cv::multiply(cv::Mat const&, cv::Mat const&, cv::Mat&, double)
  0.00      7.77     0.00        6     0.00     0.00  cv::cvarrToMat(void const*, bool, bool, int)
  0.00      7.77     0.00        6     0.00     0.78  calcPSNR::compare(_IplImage*, _IplImage*, Colorspace)
  0.00      7.77     0.00        6     0.00     0.23  cvAbsDiff
  0.00      7.77     0.00        6     0.00     0.04  cvAvg
  0.00      7.77     0.00        6     0.00     0.10  cvCvtColor
  0.00      7.77     0.00        6     0.00     0.00  cvGetImageCOI
  0.00      7.77     0.00        6     0.00     0.20  cvPow
  0.00      7.77     0.00        4     0.00     0.00  cv::BaseImageDecoder::checkSignature(std::string const&) const
  0.00      7.77     0.00        4     0.00     0.00  std::vector<cv::Ptr<cv::BaseImageDecoder>, std::allocator<cv::Ptr<cv::BaseImageDecoder> > >::_M_insert_aux(__gnu_cxx::__normal_iterator<cv::Ptr<cv::BaseImageDecoder>*, std::vector<cv::Ptr<cv::BaseImageDecoder>, std::allocator<cv::Ptr<cv::BaseImageDecoder> > > >, cv::Ptr<cv::BaseImageDecoder> const&)
  0.00      7.77     0.00        4     0.00     0.00  std::vector<cv::Ptr<cv::BaseImageEncoder>, std::allocator<cv::Ptr<cv::BaseImageEncoder> > >::_M_insert_aux(__gnu_cxx::__normal_iterator<cv::Ptr<cv::BaseImageEncoder>*, std::vector<cv::Ptr<cv::BaseImageEncoder>, std::allocator<cv::Ptr<cv::BaseImageEncoder> > > >, cv::Ptr<cv::BaseImageEncoder> const&)
  0.00      7.77     0.00        3     0.00     0.00  cv::JpegDecoder::~JpegDecoder()
  0.00      7.77     0.00        3     0.00     0.00  cv::RBaseStream::RBaseStream()
  0.00      7.77     0.00        3     0.00     0.00  cv::cvarrToMat(void const*, bool, bool, int)
  0.00      7.77     0.00        2     0.00     0.00  cv::BmpEncoder::~BmpEncoder()
  0.00      7.77     0.00        2     0.00     0.00  cv::JpegDecoder::readHeader()
  0.00      7.77     0.00        2     0.00     0.10  cv::JpegDecoder::readData(cv::Mat&)
  0.00      7.77     0.00        2     0.00     0.00  cv::WBaseStream::close()
  0.00      7.77     0.00        2     0.00     0.00  cv::findDecoder(std::string const&)
  0.00      7.77     0.00        2     0.00     0.00  cv::RLByteStream::~RLByteStream()
  0.00      7.77     0.00        2     0.00     0.00  cv::WLByteStream::putWord(int)
  0.00      7.77     0.00        2     0.00     0.12  cv::getKernelType(cv::Mat const&, cv::Point_<int>)
  0.00      7.77     0.00        2     0.00     0.00  cv::BaseImageDecoder::setSource(std::string const&)
  0.00      7.77     0.00        2     0.00     0.00  cv::cvarrToMat(void const*, bool, bool, int)
  0.00      7.77     0.00        2     0.00     0.00  void cv::cvt_<float, double>(cv::Mat const&, cv::Mat&)
  0.00      7.77     0.00        2     0.00     0.10  cv::imread_(std::string const&, int, int, cv::Mat*)
  0.00      7.77     0.00        2     0.00     0.00  void cv::cvtScale_<float, cv::OpCvt<float, int> >(cv::Mat const&, cv::Mat&, double, double)
  0.00      7.77     0.00        2     0.00     0.00  cv::PxMDecoder::signatureLength() const
  0.00      7.77     0.00        2     0.00     0.00  cv::JpegDecoder::newDecoder() const
  0.00      7.77     0.00        2     0.00     0.00  cv::TiffDecoder::signatureLength() const
  0.00      7.77     0.00        2     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_M_fill_insert(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned long, unsigned char const&)
  0.00      7.77     0.00        2     0.00     0.10  cvLoadImage
  0.00      7.77     0.00        1     0.00     0.00  global constructors keyed to _ZN2cv11FileStorage20getDefaultObjectNameERKSs
  0.00      7.77     0.00        1     0.00     0.00  global constructors keyed to _ZN2cv11bitwise_andERKNS_3MatES2_RS0_S2_
  0.00      7.77     0.00        1     0.00     0.00  global constructors keyed to _ZN2cv11findDecoderERKSs
  0.00      7.77     0.00        1     0.00     0.00  global constructors keyed to _ZN2cv16useOptimizedFlagE
  0.00      7.77     0.00        1     0.00     0.00  global constructors keyed to main
  0.00      7.77     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      7.77     0.00        1     0.00     0.00  SimilarityMetric::SimilarityMetric()
  0.00      7.77     0.00        1     0.00     0.00  cv::BmpDecoder::BmpDecoder()
  0.00      7.77     0.00        1     0.00     0.00  cv::BmpDecoder::~BmpDecoder()
  0.00      7.77     0.00        1     0.00     0.00  cv::BmpEncoder::write(cv::Mat const&, std::vector<int, std::allocator<int> > const&)
  0.00      7.77     0.00        1     0.00     0.00  cv::BmpEncoder::BmpEncoder()
  0.00      7.77     0.00        1     0.00     0.00  cv::PxMDecoder::PxMDecoder()
  0.00      7.77     0.00        1     0.00     0.00  cv::PxMDecoder::~PxMDecoder()
  0.00      7.77     0.00        1     0.00     0.00  cv::PxMEncoder::PxMEncoder()
  0.00      7.77     0.00        1     0.00     0.00  cv::PxMEncoder::~PxMEncoder()
  0.00      7.77     0.00        1     0.00     0.00  cv::JpegDecoder::JpegDecoder()
  0.00      7.77     0.00        1     0.00     0.00  cv::JpegEncoder::JpegEncoder()
  0.00      7.77     0.00        1     0.00     0.00  cv::JpegEncoder::~JpegEncoder()
  0.00      7.77     0.00        1     0.00     0.00  cv::RBaseStream::close()
  0.00      7.77     0.00        1     0.00     0.00  cv::TiffDecoder::TiffDecoder()
  0.00      7.77     0.00        1     0.00     0.00  cv::TiffDecoder::~TiffDecoder()
  0.00      7.77     0.00        1     0.00     0.00  cv::TiffEncoder::TiffEncoder()
  0.00      7.77     0.00        1     0.00     0.00  cv::TiffEncoder::~TiffEncoder()
  0.00      7.77     0.00        1     0.00     0.00  cv::WBaseStream::open(std::string const&)
  0.00      7.77     0.00        1     0.00     0.00  cv::WBaseStream::allocate()
  0.00      7.77     0.00        1     0.00     0.00  cv::WBaseStream::WBaseStream()
  0.00      7.77     0.00        1     0.00     0.00  cv::findEncoder(std::string const&)
  0.00      7.77     0.00        1     0.00     0.00  cv::ColumnFilter<cv::FixedPtCastEx<int, unsigned char>, cv::SymmColumnVec_32s8u>::ColumnFilter(cv::Mat const&, int, double, cv::FixedPtCastEx<int, unsigned char> const&, cv::SymmColumnVec_32s8u const&)
  0.00      7.77     0.00        1     0.00     0.00  cv::FilterEngine::init(cv::Ptr<cv::BaseFilter> const&, cv::Ptr<cv::BaseRowFilter> const&, cv::Ptr<cv::BaseColumnFilter> const&, int, int, int, int, int, cv::Scalar_<double> const&)
  0.00      7.77     0.00        1     0.00     0.49  cv::FilterEngine::apply(cv::Mat const&, cv::Mat&, cv::Rect_<int> const&, cv::Point_<int>, bool)
  0.00      7.77     0.00        1     0.00     0.00  cv::FilterEngine::start(cv::Size_<int>, cv::Rect_<int>, int)
  0.00      7.77     0.00        1     0.00     0.00  cv::FilterEngine::start(cv::Mat const&, cv::Rect_<int> const&, bool, int)
  0.00      7.77     0.00        1     0.00     0.49  cv::FilterEngine::proceed(unsigned char const*, int, int, unsigned char*, int)
  0.00      7.77     0.00        1     0.00     0.00  cv::FilterEngine::FilterEngine(cv::Ptr<cv::BaseFilter> const&, cv::Ptr<cv::BaseRowFilter> const&, cv::Ptr<cv::BaseColumnFilter> const&, int, int, int, int, int, cv::Scalar_<double> const&)
  0.00      7.77     0.00        1     0.00     0.00  cv::FilterEngine::~FilterEngine()
  0.00      7.77     0.00        1     0.00     1.07  cv::GaussianBlur(cv::Mat const&, cv::Mat&, cv::Size_<int>, double, double, int)
  0.00      7.77     0.00        1     0.00     0.00  cv::RMByteStream::~RMByteStream()
  0.00      7.77     0.00        1     0.00     0.00  cv::WLByteStream::~WLByteStream()
  0.00      7.77     0.00        1     0.00     0.00  cv::BaseColumnFilter::reset()
  0.00      7.77     0.00        1     0.00     0.00  cv::BaseImageEncoder::setDestination(std::string const&)
  0.00      7.77     0.00        1     0.00     0.00  cv::SunRasterDecoder::SunRasterDecoder()
  0.00      7.77     0.00        1     0.00     0.00  cv::SunRasterDecoder::~SunRasterDecoder()
  0.00      7.77     0.00        1     0.00     0.00  cv::SunRasterEncoder::SunRasterEncoder()
  0.00      7.77     0.00        1     0.00     0.00  cv::SunRasterEncoder::~SunRasterEncoder()
  0.00      7.77     0.00        1     0.00     0.00  cv::SymmColumnFilter<cv::FixedPtCastEx<int, unsigned char>, cv::SymmColumnVec_32s8u>::~SymmColumnFilter()
  0.00      7.77     0.00        1     0.00     0.00  cv::getGaussianKernel(int, double, int)
  0.00      7.77     0.00        1     0.00     0.00  cv::getLinearRowFilter(int, int, cv::Mat const&, int, int)
  0.00      7.77     0.00        1     0.00     0.58  cv::createGaussianFilter(int, cv::Size_<int>, double, double, int)
