Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 24.13     10.26    10.26       48     0.21     0.21  void cv::mul_<float, float>(cv::Mat const&, cv::Mat const&, cv::Mat&, double)
 20.08     18.80     8.54    30000     0.00     0.00  cv::SymmColumnFilter<cv::Cast<float, float>, cv::SymmColumnVec_32f>::operator()(unsigned char const**, unsigned char*, int, int, int)
 11.34     23.62     4.82   120000     0.00     0.00  cv::RowFilter<float, float, cv::RowVec_32f>::operator()(unsigned char const*, unsigned char*, int, int)
  8.75     27.34     3.72       12     0.31     0.31  void cv::div_<float>(cv::Mat const&, cv::Mat const&, cv::Mat&, double)
  6.94     30.29     2.95       12     0.25     0.25  void cv::binaryOpC1_<cv::OpAdd<float, float, float>, cv::VBinOp32f<cv::_VAdd32f> >(cv::Mat const&, cv::Mat const&, cv::Mat&)
  4.73     32.30     2.01       12     0.17     0.17  void cv::cvtScale_<float, cv::OpCvt<float, float> >(cv::Mat const&, cv::Mat&, double, double)
  4.33     34.14     1.84       12     0.15     0.15  void cv::cvt_<unsigned char, float>(cv::Mat const&, cv::Mat&)
  3.93     35.81     1.67       18     0.09     0.09  void cv::binaryOpC1_<cv::OpSub<float, float, float>, cv::VBinOp32f<cv::_VSub32f> >(cv::Mat const&, cv::Mat const&, cv::Mat&)
  3.69     37.38     1.57                             memcpy
  2.89     38.61     1.23                             mmap
  2.63     39.73     1.12       24     0.05     0.05  void cv::binarySOpCn_<cv::OpAdd<float, float, float> >(cv::Mat const&, cv::Mat&, cv::Scalar_<double> const&)
  0.92     40.12     0.39        2     0.20     0.20  icvBGRx2YCrCb_8u_CnC3R(unsigned char const*, int, unsigned char*, int, CvSize, int, int)
  0.71     40.42     0.30        4     0.08     0.08  cv::Scalar_<double> cv::sum_<cv::Vec<float, 3>, cv::Vec<double, 3> >(cv::Mat const&)
  0.68     40.71     0.29     4000     0.00     0.00  cv::RowFilter<unsigned char, int, cv::RowVec_8u32s>::operator()(unsigned char const*, unsigned char*, int, int)
  0.66     40.99     0.28                             jpeg_idct_16x16
  0.61     41.25     0.26        4     0.07     0.07  icvBGRx2Gray_8u_CnC1R(unsigned char const*, int, unsigned char*, int, CvSize, int, int)
  0.49     41.46     0.21                             ycc_rgb_convert
  0.47     41.66     0.20     1000     0.00     0.00  cv::SymmColumnFilter<cv::FixedPtCastEx<int, unsigned char>, cv::SymmColumnVec_32s8u>::operator()(unsigned char const**, unsigned char*, int, int, int)
  0.45     41.85     0.19        8     0.02     0.02  cv::Scalar_<double> cv::sum_<float, double>(cv::Mat const&)
  0.42     42.03     0.18                             __write_nocancel
